Tag; UTM X; UTM Y; UTM Zone; UTM Hemisphere; Image X; Image Y
GR1;626230.123;7152349.141;35;south;879.44;1052.58
GR2;626258.1149;7152343.961;35;south;1170.66;849.53
GR3;626265.9775;7152354.15;35;south;1066.29;790.9
GR4;626265.4951;7152360.716;35;south;978.85;781.73
GR5;626284.9336;7152358.232;35;south;1104.15;719.68
GR6;626288.6026;7152375.745;35;south;935.47;679.06
GR7;626288.6811;7152381.99;35;south;878.31;672
GR8;626397.2479;7152392.478;35;south;1137.52;513.97
GR9;626235.7503;7152403.398;35;south;182.56;830.4
GR10;626427.414;7152456.178;35;south;886.01;473.92
GR11;626422.2877;7152473.787;35;south;800.11;475.32
GR12;626487.2661;7152483.931;35;south;894.23;443.53
GR13;626531.8395;7152411.278;35;south;1228.5;440.79
